"","V1","V2"
"49","TT_IgG3","PRN_FcgR3b"
"50","TT_IgG3","ACT_IgG2"
"51","TT_IgG3","DT_IgG4"
"52","TT_IgG3","IPV3_IgG4"
"53","TT_IgG3","FHA_IgG2"
"54","TT_IgG3","FHA_IgG3"
"55","TT_IgG3","IPV3_IgG3"
"56","TT_IgG3","IPV2_IgG3"
"57","TT_IgG3","DT_IgG1"
"58","TT_IgG3","PRN_ADCP"
"59","TT_IgG3","PT_IgG"
"60","IPV1_IgG3","ACT_FcgR2a"
"61","IPV1_IgG3","TT_ADNP"
"62","IPV1_IgG3","FHA_IgG"
"63","IPV1_IgG3","IPV1_IgG4"
"64","IPV1_IgG3","PT_FcgR2a"
"65","IPV1_IgG3","DT_FcgR3b"
"66","IPV1_IgG3","DT_FcgR2a"
"67","IPV1_IgG3","IPV2_ADCD"
"68","IPV1_IgG3","FIM_IgG"
"69","IPV1_IgG3","TT_IgG4"
"70","IPV1_IgG3","IPV1_FcgR3b"
"71","IPV1_IgG3","TT_FcgR3b"
"72","IPV1_IgG3","ACT_IgG1"
"73","IPV1_IgG3","PT_IgG4"
"74","IPV1_IgG3","PRN_IgG4"
"75","IPV1_IgG3","IPV2_FcgR2a"
"76","IPV1_IgG3","IPV1_FcgR2a"
"77","IPV1_IgG3","DT_IgG3"
"78","IPV1_IgG3","FHA_ADCD"
"79","IPV1_IgG3","FIM_IgG3"
"80","IPV1_IgG3","IPV2_IgG1"
"81","IPV1_IgG3","FHA_IgG4"
"82","IPV1_IgG3","DT_IgG4"
"83","IPV1_IgG3","IPV3_IgG4"
"84","IPV1_IgG3","IPV3_IgG1"
"85","IPV1_IgG3","IPV1_IgG1"
"86","IPV1_IgG3","IPV3_IgG3"
"87","IPV1_IgG3","IPV2_IgG3"
"88","ACT_FcgR2a","TT_ADNP"
"89","ACT_FcgR2a","FHA_IgG"
"90","ACT_FcgR2a","IPV3_ADCD"
"91","ACT_FcgR2a","PT_FcgR2a"
"92","ACT_FcgR2a","IPV3_FcgR2a"
"93","ACT_FcgR2a","TT_ADCD"
"94","ACT_FcgR2a","FIM_IgG"
"95","ACT_FcgR2a","FHA_FcgR2a"
"96","ACT_FcgR2a","IPV1_FcgR3b"
"97","ACT_FcgR2a","FHA_FcgR3b"
"98","ACT_FcgR2a","PRN_IgG"
"99","ACT_FcgR2a","IPV3_FcgR3b"
"100","ACT_FcgR2a","ACT_IgG1"
"101","ACT_FcgR2a","FIM_IgG1"
"102","ACT_FcgR2a","ACT_FcgR3b"
"103","ACT_FcgR2a","DT_ADCD"
"104","ACT_FcgR2a","PRN_IgG4"
"105","ACT_FcgR2a","IPV2_FcgR2a"
"106","ACT_FcgR2a","PRN_ADCD"
"107","ACT_FcgR2a","TT_IgG1"
"108","ACT_FcgR2a","DT_IgG3"
"109","ACT_FcgR2a","FHA_ADCD"
"110","ACT_FcgR2a","FIM_FcgR2a"
"111","ACT_FcgR2a","PT_IgG3"
"112","ACT_FcgR2a","IPV2_IgG1"
"113","ACT_FcgR2a","ACT_IgG2"
"114","ACT_FcgR2a","DT_IgG4"
"115","ACT_FcgR2a","PT_ADNP"
"116","ACT_FcgR2a","IPV3_IgG4"
"117","ACT_FcgR2a","FHA_IgG3"
"118","ACT_FcgR2a","IPV1_IgG1"
"119","ACT_FcgR2a","ACT_IgG3"
"120","ACT_FcgR2a","IPV2_IgG3"
"121","TT_ADNP","PRN_ADNP"
"122","TT_ADNP","DT_FcgR3b"
"123","TT_ADNP","DT_FcgR2a"
"124","TT_ADNP","TT_IgG4"
"125","TT_ADNP","FIM_ADCD"
"126","TT_ADNP","FHA_FcgR3b"
"127","TT_ADNP","TT_FcgR3b"
"128","TT_ADNP","DT_ADCP"
"129","TT_ADNP","ACT_IgG1"
"130","TT_ADNP","PT_IgG4"
"131","TT_ADNP","DT_ADNP"
"132","TT_ADNP","PT_IgG1"
"133","TT_ADNP","FIM_IgG3"
"134","TT_ADNP","IPV2_IgG1"
